FIPS,State,County,Predicted COVID Cases,Amount Over / Under (Cases),Population
36039,NY,Greene County,4963.0,559.0,47345
36041,NY,Hamilton County,1666.0,1217.0,5121
36043,NY,Herkimer County,7270.0,447.0,59584
36045,NY,Jefferson County,13192.0,280.0,115461
36049,NY,Lewis County,3100.0,706.0,26595
36051,NY,Livingston County,6755.0,1258.0,61340
36053,NY,Madison County,7836.0,606.0,67054
36055,NY,Monroe County,97683.0,25112.0,750887
36057,NY,Montgomery County,5679.0,-565.0,49333
36059,NY,Nassau County,182503.0,-51389.0,1385294
36063,NY,Niagara County,27370.0,3869.0,210467
36065,NY,Oneida County,27370.0,-326.0,228358
36067,NY,Onondaga County,62949.0,-4434.0,469728
36069,NY,Ontario County,12869.0,1625.0,112481
36071,NY,Orange County,60774.0,3079.0,406491
36073,NY,Orleans County,4509.0,720.0,39163
36075,NY,Oswego County,13429.0,-2850.0,118239
36077,NY,Otsego County,6755.0,484.0,60409
36079,NY,Putnam County,10089.0,-3386.0,98312
36083,NY,Rensselaer County,19549.0,153.0,159421
36087,NY,Rockland County,40245.0,-7458.0,340357
36089,NY,St. Lawrence County,12508.0,1972.0,107089
36091,NY,Saratoga County,27774.0,-966.0,238468
36093,NY,Schenectady County,19549.0,-204.0,159694
36095,NY,Schoharie County,3529.0,551.0,30091
36097,NY,Schuyler County,2346.0,500.0,17609
36099,NY,Seneca County,4003.0,544.0,32586
36101,NY,Steuben County,10784.0,667.0,92505
36103,NY,Suffolk County,227710.0,-206.0,1527974
36105,NY,Sullivan County,10307.0,-1006.0,79735
36107,NY,Tioga County,5293.0,-739.0,47766
36109,NY,Tompkins County,11943.0,-2315.0,104299
36111,NY,Ulster County,21770.0,2508.0,182320
36113,NY,Warren County,7836.0,-1406.0,65427
36115,NY,Washington County,6696.0,-292.0,60810
36117,NY,Wayne County,10986.0,2021.0,90958
36119,NY,Westchester County,130963.0,-8826.0,991736
36121,NY,Wyoming County,4509.0,1034.0,39601
36123,NY,Yates County,2655.0,720.0,24502
37001,NC,Alamance County,21632.0,-6727.0,176618
37003,NC,Alexander County,4633.0,-412.0,36316
37005,NC,Alleghany County,1844.0,356.0,11193
37007,NC,Anson County,3211.0,-550.0,21958
37009,NC,Ashe County,3453.0,213.0,27062
37011,NC,Avery County,2200.0,-40.0,17541
37013,NC,Beaufort County,5624.0,-1907.0,44400
37015,NC,Bertie County,2502.0,2.0,17068
37017,NC,Bladen County,3921.0,-1477.0,29391
37019,NC,Brunswick County,16456.0,-4060.0,152908
37021,NC,Buncombe County,34092.0,-665.0,273790
37023,NC,Burke County,10784.0,-2776.0,87972
37025,NC,Cabarrus County,26657.0,-4452.0,235909
37027,NC,Caldwell County,10307.0,-3276.0,80347
37029,NC,Camden County,2106.0,1311.0,11090
37031,NC,Carteret County,8585.0,89.0,69326
37033,NC,Caswell County,2733.0,-80.0,22431
37035,NC,Catawba County,20015.0,-6417.0,163167
37037,NC,Chatham County,9115.0,-176.0,79939
37039,NC,Cherokee County,4166.0,700.0,29459
37041,NC,Chowan County,2105.0,-232.0,13898
37043,NC,Clay County,1844.0,384.0,11615
37045,NC,Cleveland County,12508.0,-2621.0,100653
37047,NC,Columbus County,6657.0,-1108.0,50075
37049,NC,Craven County,12410.0,-2765.0,101087
37051,NC,Cumberland County,42459.0,-15199.0,336781
37053,NC,Currituck County,3490.0,723.0,31008
37055,NC,Dare County,3995.0,-817.0,37987
37057,NC,Davidson County,21414.0,-2493.0,172380
37059,NC,Davie County,4963.0,-1505.0,44115
37061,NC,Duplin County,6755.0,-2453.0,48934
37063,NC,Durham County,44873.0,-12755.0,333292
37065,NC,Edgecombe County,6293.0,-1707.0,48389
37067,NC,Forsyth County,51314.0,-7641.0,389661
37069,NC,Franklin County,8585.0,-5359.0,74400
37071,NC,Gaston County,29358.0,-3742.0,233970
37073,NC,Gates County,1848.0,782.0,10370
37075,NC,Graham County,1666.0,302.0,8032
37077,NC,Granville County,7297.0,-1996.0,61702
37079,NC,Greene County,3040.0,-163.0,20367
37081,NC,Guilford County,68845.0,-6144.0,546457
37083,NC,Halifax County,5954.0,-3143.0,47711
37085,NC,Harnett County,15119.0,-5286.0,138478
37087,NC,Haywood County,8116.0,131.0,62615
37089,NC,Henderson County,13550.0,-306.0,118298
37091,NC,Hertford County,3211.0,234.0,19634
37093,NC,Hoke County,6468.0,-3930.0,53691
37095,NC,Hyde County,1666.0,917.0,4656
37097,NC,Iredell County,21528.0,-4073.0,195874
37099,NC,Jackson County,5411.0,60.0,43922
37101,NC,Johnston County,27836.0,-7923.0,234902
37103,NC,Jones County,1713.0,401.0,9219
37105,NC,Lee County,8079.0,-995.0,65543
37107,NC,Lenoir County,7610.0,-1274.0,54499
37109,NC,Lincoln County,10444.0,-1486.0,93108
37111,NC,McDowell County,5624.0,-1714.0,44755
37113,NC,Macon County,4579.0,538.0,37969
37115,NC,Madison County,2733.0,-193.0,21881
37117,NC,Martin County,3040.0,-482.0,21478
37119,NC,Mecklenburg County,141258.0,-29914.0,1144075
37121,NC,Mitchell County,2270.0,101.0,15048
37123,NC,Montgomery County,3571.0,-87.0,25841
37125,NC,Moore County,12118.0,-2873.0,105491
37127,NC,Nash County,11466.0,-2912.0,95820
37129,NC,New Hanover County,31647.0,1540.0,235784
37131,NC,Northampton County,2502.0,-284.0,16827
37133,NC,Onslow County,25206.0,-5806.0,209031
37135,NC,Orange County,28716.0,5169.0,150253
37137,NC,Pamlico County,1969.0,490.0,12234
37139,NC,Pasquotank County,4483.0,185.0,41168
37141,NC,Pender County,8170.0,-13.0,65698
37143,NC,Perquimans County,2105.0,560.0,13221
37145,NC,Person County,4563.0,-1249.0,39343
37147,NC,Pitt County,23796.0,-7866.0,173610
37149,NC,Polk County,2654.0,428.0,20012
37151,NC,Randolph County,17782.0,-87.0,146196
37153,NC,Richmond County,5294.0,-2469.0,42573
37155,NC,Robeson County,15717.0,-7112.0,116466
37157,NC,Rockingham County,11466.0,-620.0,91966
37159,NC,Rowan County,20662.0,306.0,149673
37161,NC,Rutherford County,8116.0,-381.0,64945
37163,NC,Sampson County,7882.0,-2425.0,59027
37165,NC,Scotland County,5033.0,-851.0,34350
37167,NC,Stanly County,7844.0,-2086.0,64231
37169,NC,Stokes County,5181.0,-1760.0,45136
37171,NC,Surry County,8925.0,-3493.0,71482
37173,NC,Swain County,2105.0,-316.0,13936
37175,NC,Transylvania County,4302.0,826.0,33373
37177,NC,Tyrrell County,1666.0,1120.0,3473
37179,NC,Union County,28645.0,-5704.0,249172
37181,NC,Vance County,5294.0,-1743.0,42154
37183,NC,Wake County,181102.0,-40414.0,1170778
37185,NC,Warren County,2904.0,147.0,18677
37187,NC,Washington County,1840.0,-118.0,10776
37189,NC,Watauga County,6628.0,-332.0,55013
37191,NC,Wayne County,13896.0,-7098.0,117449
